Date,Vaccine_type,Doses_per_Day,OBJECTID
2021/03/16,Pfizer,82,93
2021/03/17,Moderna,21,94
2021/03/17,Pfizer,65,95
2021/03/18,Moderna,12,96
2021/03/18,Pfizer,86,97
2021/03/19,Moderna,9,98
2021/03/19,Pfizer,102,99
2021/03/20,Moderna,8,100
2021/03/20,Pfizer,15,101
2021/03/21,Moderna,10,102
2021/03/21,Pfizer,27,103
2021/03/22,Moderna,11,104
2021/03/22,Pfizer,91,105
2021/03/23,Moderna,35,106
2021/03/23,Pfizer,229,107
2021/03/24,Moderna,37,108
2021/03/24,Pfizer,208,109
2021/03/25,Pfizer,284,110
2021/03/26,Pfizer,139,111
2021/03/27,Pfizer,259,112
2021/03/28,Pfizer,159,113
2021/03/29,Pfizer,192,114
2021/03/30,Pfizer,300,115
2021/03/31,Pfizer,405,116
2021/04/01,Pfizer,318,117
2021/04/02,Pfizer,144,118
2021/04/03,AstraZeneca,10,119
2021/04/03,Pfizer,381,120
2021/04/04,AstraZeneca,10,121
2021/04/04,Moderna,9,122
2021/04/04,Pfizer,156,123
2021/04/05,AstraZeneca,31,124
2021/04/05,Moderna,6,125
2021/04/05,Pfizer,139,126
2021/04/06,AstraZeneca,87,127
2021/04/06,Moderna,6,128
2021/04/06,Pfizer,220,129
2021/04/07,AstraZeneca,85,130
2021/04/07,Moderna,13,131
2021/04/07,Pfizer,252,132
2021/04/08,AstraZeneca,109,133
2021/04/08,Moderna,41,134
2021/04/08,Pfizer,290,135
2021/04/09,AstraZeneca,92,136
2021/04/09,Moderna,46,137
2021/04/09,Pfizer,324,138
2021/04/10,AstraZeneca,86,139
2021/04/10,Moderna,36,140
2021/04/10,Pfizer,326,141
2021/04/11,AstraZeneca,67,142
2021/04/11,Moderna,97,143
2021/04/11,Pfizer,213,144
2021/04/12,AstraZeneca,117,145
2021/04/12,Moderna,181,146
2021/04/12,Pfizer,328,147
2021/04/13,AstraZeneca,115,148
2021/04/13,Moderna,7,149
2021/04/13,Pfizer,475,150
2021/04/14,AstraZeneca,122,151
2021/04/14,Moderna,15,152
2021/04/14,Pfizer,582,153
2021/04/15,AstraZeneca,227,154
2021/04/15,Moderna,16,155
2021/04/15,Pfizer,462,156
2021/04/16,AstraZeneca,252,157
2021/04/16,Moderna,226,158
2021/04/16,Pfizer,353,159
2021/04/17,AstraZeneca,170,160
2021/04/17,Moderna,220,161
2021/04/17,Pfizer,188,162
2021/04/18,AstraZeneca,96,163
2021/04/18,Moderna,238,164
2021/04/18,Pfizer,117,165
2021/04/19,AstraZeneca,191,166
2021/04/19,Moderna,234,167
2021/04/19,Pfizer,114,168
2021/04/20,AstraZeneca,193,169
2021/04/20,Moderna,211,170
2021/04/20,Pfizer,340,171
2021/04/21,AstraZeneca,131,172
2021/04/21,Moderna,243,173
2021/04/21,Pfizer,312,174
2021/04/22,AstraZeneca,139,175
2021/04/22,Moderna,230,176
2021/04/22,Pfizer,278,177
2021/04/23,AstraZeneca,133,178
2021/04/23,Moderna,29,179
2021/04/23,Pfizer,514,180
2021/04/24,AstraZeneca,211,181
2021/04/24,Moderna,40,182
2021/04/24,Pfizer,306,183
2021/04/25,AstraZeneca,105,184
2021/04/25,Moderna,70,185
2021/04/25,Pfizer,232,186
2021/04/26,AstraZeneca,131,187
2021/04/26,Moderna,56,188
2021/04/26,Pfizer,236,189
2021/04/27,AstraZeneca,115,190
2021/04/27,Moderna,66,191
2021/04/27,Pfizer,185,192
2021/04/28,AstraZeneca,77,193
2021/04/28,Pfizer,306,194
2021/04/29,AstraZeneca,81,195
2021/04/29,Moderna,5,196
2021/04/29,Pfizer,270,197
2021/04/30,AstraZeneca,74,198
2021/04/30,Moderna,1,199
2021/04/30,Pfizer,293,200
2021/05/01,AstraZeneca,100,201
2021/05/01,Moderna,57,202
2021/05/01,Pfizer,144,203
2021/05/02,AstraZeneca,31,204
2021/05/02,Moderna,73,205
2021/05/02,Pfizer,93,206
2021/05/03,AstraZeneca,36,207
2021/05/03,Moderna,81,208
2021/05/03,Pfizer,145,209
2021/05/04,AstraZeneca,57,210
2021/05/04,Moderna,4,211
2021/05/04,Pfizer,458,212
2021/05/05,AstraZeneca,49,213
2021/05/05,Moderna,16,214
2021/05/05,Pfizer,339,215
2021/05/06,AstraZeneca,46,216
2021/05/06,Moderna,4,217
2021/05/06,Pfizer,333,218
2021/05/07,AstraZeneca,53,219
2021/05/07,Moderna,22,220
2021/05/07,Pfizer,351,221
2021/05/08,AstraZeneca,73,222
2021/05/08,Moderna,14,223
2021/05/08,Pfizer,363,224
2021/05/09,AstraZeneca,8,225
2021/05/09,Moderna,9,226
2021/05/09,Pfizer,236,227
2021/05/10,AstraZeneca,33,228
2021/05/10,Moderna,22,229
2021/05/10,Pfizer,320,230
2021/05/11,AstraZeneca,24,231
2021/05/11,Moderna,4,232
2021/05/11,Pfizer,285,233
2021/05/12,Moderna,8,234
2021/05/12,Pfizer,346,235
2021/05/13,Moderna,10,236
2021/05/13,Pfizer,310,237
2021/05/14,Moderna,44,238
2021/05/14,Pfizer,424,239
2021/05/15,Moderna,39,240
2021/05/15,Pfizer,492,241
2021/05/16,Moderna,12,242
2021/05/16,Pfizer,397,243
2021/05/17,Moderna,163,244
2021/05/17,Pfizer,495,245
2021/05/18,Moderna,206,246
2021/05/18,Pfizer,660,247
2021/05/19,Moderna,139,248
2021/05/19,Pfizer,709,249
2021/05/20,Moderna,117,250
2021/05/20,Pfizer,822,251
2021/05/21,Moderna,167,252
2021/05/21,Pfizer,935,253
2021/05/22,Moderna,270,254
2021/05/22,Pfizer,440,255
2021/05/23,Moderna,278,256
2021/05/23,Pfizer,379,257
2021/05/24,Moderna,143,258
2021/05/24,Pfizer,356,259
2021/05/25,Moderna,120,260
2021/05/25,Pfizer,754,261
2021/05/26,Moderna,128,262
2021/05/26,Pfizer,671,263
2021/05/27,Moderna,125,264
2021/05/27,Pfizer,763,265
2021/05/28,Moderna,124,266
2021/05/28,Pfizer,619,267
2021/05/29,Moderna,131,268
2021/05/29,Pfizer,540,269
2021/05/30,Moderna,84,270
2021/05/30,Pfizer,301,271
2021/05/31,Moderna,53,272
2021/05/31,Pfizer,309,273
2021/06/01,Moderna,23,274
2021/06/01,Pfizer,571,275
2021/06/02,AstraZeneca,1,276
2021/06/02,Moderna,50,277
2021/06/02,Pfizer,712,278
2021/06/03,Moderna,62,279
2021/06/03,Pfizer,835,280
2021/06/04,Moderna,95,281
2021/06/04,Pfizer,703,282
2021/06/05,Moderna,102,283
2021/06/05,Pfizer,801,284
2021/06/06,Moderna,22,285
2021/06/06,Pfizer,532,286
2021/06/07,Moderna,67,287
2021/06/07,Pfizer,642,288
2021/06/08,Moderna,54,289
2021/06/08,Pfizer,700,290
2021/06/09,Moderna,57,291
2021/06/09,Pfizer,812,292
2021/06/10,Moderna,53,293
2021/06/10,Pfizer,909,294
2021/06/11,Moderna,74,295
2021/06/11,Pfizer,924,296
2021/06/12,Moderna,49,297
2021/06/12,Pfizer,1022,298
2021/06/13,Moderna,47,299
2021/06/13,Pfizer,617,300
2021/06/14,Moderna,59,301
2021/06/14,Pfizer,718,302
2021/06/15,AstraZeneca,1,303
2021/06/15,Moderna,80,304
2021/06/15,Pfizer,551,305
