X,Y,ID,Ottawa__Police_Division,Ottawa_Police_Sector,Report_Date,Incident_StartDate,Incident_EndDate,Weekday,Location_Type,Primary_Offence,ONS_Neighbourhood_2019,Bicycle_Status,Bicycle_Value,Bicycle_Make,Bicycle_Model,Bicycle_Type,Bicycle_Frame,Bicycle_Colour,Bicycle_Speed,X,Y,Census_Tract_Unique_ID,Census_Tract_Name,Object_ID,OBJECTID
352020.6189,5020733.481,55,West,13,28-Sep-16,27-Sep-16,28-Sep-16,3,High School,THEFT<BICYCLE,Beaverbrook,Stolen,150,GARY FISHER,UNKNOWN,MOUNTAIN,MEN'S,Black,,352020.6189,5020733.481,5050160.02,160.02,55,54
352260.797,5020095.673,56,West,13,6-Aug-17,6-Aug-17,6-Aug-17,1,,THEFT<BICYCLE,Beaverbrook,Stolen,120,RALEIGH,UNKNOWN,REGULAR,UNISEX,Blue,1,352260.797,5020095.673,5050160.06,160.06,56,55
352152.2819,5019895.231,57,West,13,7-Aug-17,6-Aug-17,6-Aug-17,1,,THEFT<BICYCLE,Beaverbrook,Stolen,200,CCM SUPERCYCLE,UNKNOWN,MOUNTAIN,MEN'S,"Black, Green ",18,352152.2819,5019895.231,5050160.06,160.06,57,56
351388.6159,5021502.488,58,West,13,20-Aug-17,20-Aug-17,20-Aug-17,1,,THEFT<BICYCLE,Beaverbrook,Stolen,300,UNKNOWN,UNKNOWN,TOURING,WOMEN'S,Green,1,351388.6159,5021502.488,5050160.02,160.02,58,57
351120.614,5021192.485,59,West,13,2-Jun-18,29-May-18,30-May-18,3,,THEFT<BICYCLE,Beaverbrook,Stolen,350,KUNDSTADT,UNKNOWN,REGULAR,CHILD'S,Grey,5,351120.614,5021192.485,5050160.02,160.02,59,58
352308.9079,5020329.16,60,West,13,7-Jun-18,7-Jun-18,7-Jun-18,5,High School,THEFT<BICYCLE,Beaverbrook,Stolen,1500,TREK,ROSCOE 7,MOUNTAIN,MEN'S,Black,24,352308.9079,5020329.16,5050160.02,160.02,60,59
352308.9079,5020329.16,61,West,13,11-Jun-18,11-Jun-18,,2,High School,THEFT<BICYCLE,Beaverbrook,Stolen,,TREK,X-CALIBER,MOUNTAIN,UNISEX,N/A,21,352308.9079,5020329.16,5050160.02,160.02,61,60
352308.9079,5020329.16,62,West,13,29-May-19,29-May-19,29-May-19,4,High School,THEFT<BICYCLE,Beaverbrook,Stolen,500,TREK,UNKNOWN,MOUNTAIN,UNISEX,Black,27,352308.9079,5020329.16,5050160.02,160.02,62,61
351520.183,5020679.02,63,West,13,11-Jun-19,6-Jun-19,7-Jun-19,5,Schools,THEFT<BICYCLE,Beaverbrook,Stolen,600,TREK,MARLIN,MOUNTAIN,UNISEX,Black,,351520.183,5020679.02,5050160.02,160.02,63,62
352308.9079,5020329.16,64,West,13,12-Jun-19,12-Jun-19,12-Jun-19,4,High School,THEFT<BICYCLE,Beaverbrook,Recovered,600,TREK,MARLIN 5,MOUNTAIN,MEN'S,Black,10,352308.9079,5020329.16,5050160.02,160.02,64,63
351520.183,5020679.02,65,West,13,23-Aug-19,23-Aug-19,23-Aug-19,6,,THEFT<BICYCLE,Beaverbrook,Stolen,1000,KHS,ALITE,MOUNTAIN,CHILD'S,Orange,0,351520.183,5020679.02,5050160.02,160.02,65,64
352152.8279,5020141.646,66,West,13,6-Sep-19,6-Sep-19,6-Sep-19,6,Public Facilities/ Museurm/ Gallery/ Libraries,THEFT<BICYCLE,Beaverbrook,Stolen,400,UNKNOWN,UNKNOWN,HYBRID,MEN'S,"Blue, Black",1,352152.8279,5020141.646,5050160.06,160.06,66,65
352152.8279,5020141.646,67,West,13,18-Sep-19,17-Sep-19,17-Sep-19,3,Unknown,THEFT<BICYCLE,Beaverbrook,Stolen,699,LIV,BELIV,REGULAR,WOMEN'S,Light Blue,24,352152.8279,5020141.646,5050160.06,160.06,67,66
