Date,Province,HA,HSDA,Cases_Reported,Cases_Reported_Smoothed,Year,Month,Day,Day of Week
2020-03-02,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,03,02,Monday
2020-03-03,BC,Vancouver Coastal,Vancouver,3,0.43,2020,03,03,Tuesday
2020-03-03,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,03,03,Tuesday
2020-03-03,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,03,03,Tuesday
2020-03-03,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,03,03,Tuesday
2020-03-04,BC,Vancouver Coastal,Vancouver,0,0.43,2020,03,04,Wednesday
2020-03-04,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,03,04,Wednesday
2020-03-04,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,03,04,Wednesday
2020-03-04,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,03,04,Wednesday
2020-03-05,BC,Vancouver Coastal,Vancouver,2,0.71,2020,03,05,Thursday
2020-03-05,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,03,05,Thursday
2020-03-05,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,03,05,Thursday
2020-03-05,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,03,05,Thursday
2020-03-06,BC,Vancouver Coastal,Vancouver,0,0.71,2020,03,06,Friday
2020-03-06,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,03,06,Friday
2020-03-06,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,03,06,Friday
2020-03-06,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,03,06,Friday
2020-03-07,BC,Vancouver Coastal,Vancouver,1,0.86,2020,03,07,Saturday
2020-03-07,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,03,07,Saturday
2020-03-07,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,03,07,Saturday
2020-03-07,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,03,07,Saturday
2020-03-08,BC,Vancouver Coastal,Vancouver,0,0.86,2020,03,08,Sunday
2020-03-08,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,03,08,Sunday
2020-03-08,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,03,08,Sunday
2020-03-08,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,03,08,Sunday
2020-03-09,BC,Vancouver Coastal,Vancouver,0,0.86,2020,03,09,Monday
2020-03-09,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,03,09,Monday
2020-03-09,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,03,09,Monday
2020-03-09,BC,Vancouver Island,South Vancouver Island,0,0.0,2020,03,09,Monday
2020-03-10,BC,Vancouver Coastal,Vancouver,3,0.86,2020,03,10,Tuesday
2020-03-10,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,03,10,Tuesday
2020-03-10,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,03,10,Tuesday
2020-03-10,BC,Vancouver Island,South Vancouver Island,1,0.14,2020,03,10,Tuesday
2020-03-11,BC,Vancouver Coastal,Vancouver,4,1.43,2020,03,11,Wednesday
2020-03-11,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,03,11,Wednesday
2020-03-11,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,03,11,Wednesday
2020-03-11,BC,Vancouver Island,South Vancouver Island,0,0.14,2020,03,11,Wednesday
2020-03-12,BC,Vancouver Coastal,Vancouver,2,1.43,2020,03,12,Thursday
2020-03-12,BC,Vancouver Island,Central Vancouver Island,0,0.0,2020,03,12,Thursday
2020-03-12,BC,Vancouver Island,North Vancouver Island,0,0.0,2020,03,12,Thursday
2020-03-12,BC,Vancouver Island,South Vancouver Island,0,0.14,2020,03,12,Thursday
2020-03-13,BC,Vancouver Coastal,Vancouver,3,1.86,2020,03,13,Friday
