Incident_Date,YEAR,MONTH,DAY,WEEKDAY,X,Y,LAT,LNG
2018-08-12,2018,8,12,Sunday,491061.1973,5458956.0654,49.28329211928405,-123.12290934397106
2019-08-13,2019,8,13,Tuesday,495089.7058,5458093.4028,49.27557796234672,-123.06750645335333
2020-07-20,2020,7,20,Monday,495089.7782,5458098.2172,49.2756212693165,-123.06750551710233
2020-07-23,2020,7,23,Thursday,490686.9246,5457175.0259,49.26726579025053,-123.12801414750523
2018-10-08,2018,10,8,Monday,493784.2849,5450937.257,49.211194939369456,-123.08534228593399
2019-10-14,2019,10,14,Monday,490641.6523,5458535.4476,49.27950231772834,-123.12866826676915
2018-08-15,2018,8,15,Wednesday,491022.37799999997,5458322.9587,49.27759665648193,-123.12342889825182
2020-07-10,2020,7,10,Friday,491099.4904,5458401.3612,49.278303027180215,-123.12237046522004
2018-05-27,2018,5,27,Sunday,491105.2567,5458407.2244,49.27835585153467,-123.12229131666116
2020-10-26,2020,10,26,Monday,491123.0816,5458425.3472,49.27851912812854,-123.12204664997343
2018-08-30,2018,8,30,Thursday,492788.8423,5458081.2304,49.27544565941422,-123.0991383363776
2019-07-28,2019,7,28,Sunday,490686.7573,5458860.457,49.28242651623526,-123.12805568757577
2020-08-24,2020,8,24,Monday,490696.6605,5456636.517999999,49.26242196330638,-123.12786780437884
2020-05-07,2020,5,7,Thursday,490726.30799999996,5456533.8314,49.26149872868697,-123.12745794266539
2019-03-15,2019,3,15,Friday,490770.9896,5456532.8124,49.261490238413906,-123.12684381530585
2019-09-03,2019,9,3,Tuesday,490648.0588,5456427.6195,49.260542141585226,-123.12853091832689
2020-05-30,2020,5,30,Saturday,490648.0588,5456427.6195,49.260542141585226,-123.12853091832689
2019-11-28,2019,11,28,Thursday,490725.9958,5456443.1018,49.26068259438379,-123.12746013166688
2019-10-26,2019,10,26,Saturday,490696.2842,5456324.14,49.25961205957881,-123.12786571652481
2020-01-30,2020,1,30,Thursday,490677.5267,5456222.7242,49.25869951978929,-123.12812114828738
2018-05-02,2018,5,2,Wednesday,490610.0423,5456034.6602,49.257006816214684,-123.12904419085184
